Borough,Number,Street
Manhattan,3933,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,3905,BROADWAY
Manhattan,,
Brooklyn,168,BAY  25 STREET
Manhattan,2420,BROADWAY
Manhattan,2522,BROADWAY
Queens,89-37,HOLLIS COURT BOULEVARD
Queens,86-72,RANGE STREET
Queens,,
Bronx,86,DITMARS STREET
Queens,43-39,167 STREET
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Bronx,1889,CROTONA AVENUE
Staten Island,2232,SOUTH RAILROAD AVENUE
Staten Island,2232,SOUTH RAILROAD AVENUE
Bronx,355,CONCORD AVENUE
Bronx,121,LINCOLN AVENUE
Bronx,452,WEST 260 STREET
Queens,110-28,174 STREET
Queens,23-85,35 STREET
Queens,23-77,35 STREET
Queens,23-63,35 STREET
Queens,23-59,35 STREET
Queens,23-53,35 STREET
Queens,23-25,35 STREET
Queens,23-17,35 STREET
Queens,23-30,35 STREET
Queens,23-58,35 STREET
Queens,75-19,DITMARS BOULEVARD
Queens,21-12,78 STREET
Queens,32-50,104 STREET
Queens,31-34,91 STREET
Queens,30-23,74 STREET
Queens,112-44,38 AVENUE
Queens,112-48,38 AVENUE
Staten Island,46,MOORE STREET
Staten Island,108,CROWELL AVENUE
Queens,257-03,147 AVENUE
Queens,253-39,149 DRIVE
Queens,138-24,243 STREET
Queens,,
Queens,170-21,FOCH BOULEVARD
Queens,80-66,SPRINGFIELD BOULEVARD
Queens,132-02,217 STREET
Queens,169-01,104 AVENUE
Manhattan,,
Bronx,,
Brooklyn,,
Brooklyn,,
Manhattan,*,E 2 ST
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Brooklyn,2518,WEST 1 STREET
Brooklyn,448,BEDFORD AVENUE
Brooklyn,,
Queens,,
Manhattan,,
Bronx,,
Queens,,
Staten Island,,
Brooklyn,,
Manhattan,,
Bronx,,
Manhattan,,
Staten Island,,
Staten Island,,
Staten Island,,
Brooklyn,322,RODNEY STREET
Manhattan,,
Bronx,,
Bronx,,
Bronx,,
Queens,,
Manhattan,*,BATTERY PARK UNDERPASS
Manhattan,,
Queens,,
Manhattan,,
Bronx,,
Manhattan,,
Bronx,,
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Manhattan,,
Brooklyn,,
Staten Island,,
Manhattan,,
Manhattan,,
Bronx,,
Brooklyn,,
Bronx,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Staten Island,,
Manhattan,,
Brooklyn,,
Bronx,,
Manhattan,,
Bronx,,
Staten Island,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Bronx,,
Staten Island,,
Queens,,
Staten Island,,
Bronx,,
Manhattan,,
Manhattan,,
Bronx,,
Manhattan,,
Manhattan,,
Brooklyn,50,PLAZA ST EAST
Queens,,
Bronx,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Queens,,
Bronx,,
Queens,,
Brooklyn,,
Manhattan,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Manhattan,,
Bronx,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Brooklyn,,
Staten Island,,
Brooklyn,,
Queens,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Manhattan,,
Bronx,,
Bronx,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Queens,,
Staten Island,,
Manhattan,,
Queens,,
Staten Island,,
Bronx,,
Manhattan,,
Brooklyn,,
Queens,,
Brooklyn,,
Staten Island,,
Brooklyn,,
Bronx,,
Manhattan,,
Brooklyn,,
Manhattan,72,FORSYTH STREET
Staten Island,,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,,
Manhattan,,
Queens,,
Brooklyn,,
Brooklyn,,
Bronx,,
Manhattan,*,SEAMAN AV
Bronx,,
Staten Island,,
Bronx,,
Bronx,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Queens,,
Queens,,
Staten Island,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Brooklyn,,
Bronx,,
Bronx,,
Manhattan,,
Bronx,67,STEVENSON PLACE
Queens,,
Staten Island,,
Bronx,,
Queens,,
Bronx,,
Brooklyn,,
Brooklyn,133,DUMONT AVENUE
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Staten Island,,
Brooklyn,,
Staten Island,,
Bronx,,
Queens,,
Queens,,
Manhattan,,
Brooklyn,,
Staten Island,,
Queens,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Brooklyn,99,POWELL STREET
Bronx,,
Brooklyn,,
Manhattan,,
Queens,,
Queens,,
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Queens,,
Manhattan,,
Bronx,,
Brooklyn,,
Staten Island,,
Brooklyn,1,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,,
Manhattan,,
Staten Island,,
Staten Island,,
Staten Island,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Brooklyn,,
Bronx,,
Brooklyn,,
Bronx,,
Manhattan,,
Queens,,
Brooklyn,,
Bronx,,
Manhattan,,
Manhattan,,
Queens,,
Manhattan,,
Staten Island,,
Bronx,,
Queens,,
Manhattan,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Staten Island,,
Bronx,,
Queens,164-052,84 AVENUE
Staten Island,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Bronx,,
Manhattan,,
Brooklyn,,
Bronx,,
Manhattan,,
Queens,,
Staten Island,,
Bronx,,
Manhattan,,
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Bronx,,
Bronx,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Manhattan,,
Bronx,,
Manhattan,,
Manhattan,,
Staten Island,,
Brooklyn,,
Queens,,
Brooklyn,870,MC DONALD AVENUE
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Manhattan,,
Queens,,
Brooklyn,,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,,
Brooklyn,,
Bronx,,
Queens,,
Brooklyn,,
Bronx,,Inwood Ave
Bronx,,
Manhattan,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Bronx,,
Brooklyn,,
Brooklyn,,
Brooklyn,267,ST JOHNS PLACE
Manhattan,,
Manhattan,,
Queens,,
Brooklyn,,
Manhattan,,
Staten Island,,
Manhattan,,
Bronx,,
Bronx,,
Manhattan,,
Manhattan,,
Brooklyn,,
Staten Island,,
Manhattan,,
Manhattan,,
Queens,,
Brooklyn,,
Manhattan,,
Manhattan,,
Bronx,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Bronx,,
Bronx,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Queens,,
Brooklyn,267,ST JOHNS PLACE
Bronx,,
Bronx,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Staten Island,,
Manhattan,,
Queens,,
Staten Island,,
Manhattan,*,PARK TER W
Bronx,,
Bronx,,
Bronx,,
Manhattan,*,HENRY HUDSON PKWY
Staten Island,,
Bronx,,
Bronx,,
Brooklyn,,
Manhattan,,
Manhattan,,
Staten Island,,
Manhattan,,
Manhattan,,
Brooklyn,,
Bronx,,
Brooklyn,,
Manhattan,,
Bronx,,
Manhattan,112,CHRYSTIE ST
Staten Island,,
Manhattan,,
Bronx,,
Manhattan,,
Brooklyn,752,EAST  91 STREET
Queens,,
Bronx,,
Bronx,,
Manhattan,,
Queens,,
Manhattan,,
Bronx,,
Brooklyn,,
Manhattan,,
Queens,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Brooklyn,1,
Staten Island,,
Brooklyn,95,POWELL STREET
Manhattan,,
Staten Island,,
Queens,,
Bronx,,
Queens,,
Manhattan,,
Manhattan,,
Queens,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Bronx,,
Manhattan,,
Staten Island,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,2116,CROTONA PARKWAY
Bronx,,
Manhattan,,
Staten Island,,
Queens,,
Brooklyn,,
Bronx,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Manhattan,,
Queens,,
Brooklyn,,
Bronx,,
Staten Island,,
Bronx,,
Brooklyn,,
Queens,,
Manhattan,,
Manhattan,,
Manhattan,,
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Brooklyn,80,POWELL STREET
Staten Island,,
Bronx,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Bronx,3015,GOULDEN AV
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Queens,,
Bronx,,
Queens,,
Queens,,
Bronx,,
Manhattan,,
Manhattan,,
Bronx,,
Brooklyn,,
Staten Island,,
Manhattan,,
Staten Island,,
Manhattan,,
Bronx,,
Manhattan,,
Staten Island,,
Brooklyn,,
Staten Island,,
Brooklyn,,
Bronx,,
Bronx,,
Brooklyn,,
Manhattan,*,E 42 ST
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Bronx,,
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Queens,,
Brooklyn,267,ST JOHNS PLACE
Brooklyn,,
Manhattan,,
Bronx,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Bronx,,
Bronx,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,*,FDR DR
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Bronx,,
Queens,,
Staten Island,,
Manhattan,,
Queens,,
Queens,,
Brooklyn,,
Bronx,1826,ARTHUR AVENUE
Queens,,
Queens,,
Manhattan,,
Queens,,
Bronx,,
Bronx,,
Bronx,,
Brooklyn,,
Brooklyn,267,ST JOHNS PLACE
Bronx,,
Manhattan,,
Brooklyn,,
Bronx,,
Bronx,,
Brooklyn,,
Brooklyn,884,MC DONALD AVENUE
Queens,,
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Staten Island,,
Manhattan,,
Manhattan,,
Bronx,,
Brooklyn,,
Manhattan,,
Bronx,,
Manhattan,,
Brooklyn,,
Queens,,
Queens,,
Bronx,,
Manhattan,,
Queens,,
Bronx,,
Manhattan,,
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Manhattan,,
Manhattan,,
Brooklyn,,
Manhattan,,
Queens,,
Brooklyn,,
Manhattan,,
Bronx,,
Brooklyn,60,PLAZA ST EAST
Manhattan,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Bronx,,
Staten Island,,
Brooklyn,,
Bronx,,
Brooklyn,,
Staten Island,,
Bronx,,
Manhattan,,
Brooklyn,75,HAMILTON AVENUE
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,876,MC DONALD AVENUE
Manhattan,,
Manhattan,,
Queens,,
Manhattan,,
Brooklyn,50,PLAZA ST EAST
Queens,,
Queens,,
Bronx,,
Bronx,,
Bronx,,
Staten Island,,
Queens,,
Manhattan,,
Staten Island,,
Bronx,,
Queens,,
Bronx,,
Manhattan,,
Brooklyn,,
Brooklyn,50,PLAZA ST EAST
Bronx,,
Manhattan,*,PARK TER W
Staten Island,,
Bronx,,
Brooklyn,,
Queens,0,0
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,*,PARK TER W
Bronx,,
Manhattan,,
Brooklyn,,
Bronx,,
Queens,,
Staten Island,,
Staten Island,,
Queens,,
Manhattan,,
Manhattan,,
Manhattan,,
Queens,,
Brooklyn,,
Brooklyn,1,
Brooklyn,,
Manhattan,,
Manhattan,,
Staten Island,,
Queens,,
Brooklyn,,
Queens,,
Manhattan,,
Bronx,,
Manhattan,,
Manhattan,,
Queens,,
Staten Island,,
Manhattan,,
Manhattan,,
Brooklyn,,
Manhattan,,
Brooklyn,1,
Brooklyn,,
Manhattan,,
Staten Island,,
Brooklyn,,
Bronx,,
Manhattan,,
Bronx,,
Queens,,
Brooklyn,,
Queens,,
Manhattan,*,CENTRE ST
Brooklyn,,
Manhattan,,
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Bronx,,
Staten Island,,
Manhattan,,
Manhattan,,
Manhattan,,
Staten Island,,
Bronx,,
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Staten Island,,
Brooklyn,,
Manhattan,*,CENTRE ST
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Manhattan,,
Bronx,,
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Brooklyn,267,ST JOHNS PLACE
Bronx,,
Brooklyn,,
Manhattan,,
Staten Island,,
Queens,,
Manhattan,,
Brooklyn,,
Manhattan,,
Bronx,,
Staten Island,,
Brooklyn,,
Brooklyn,,
Queens,,
Bronx,,
Queens,,
Queens,,
Brooklyn,1,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Queens,,
Queens,,
Bronx,,
Manhattan,,
Brooklyn,,
Manhattan,,
Queens,,
Bronx,,
Queens,,
Bronx,,
Queens,,
Bronx,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Staten Island,,
Brooklyn,1,
Bronx,,
Queens,117-15,118 STREET
Bronx,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Queens,,
Brooklyn,,
Bronx,,
Bronx,,
Manhattan,,
Queens,,
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Staten Island,,
Queens,,
Bronx,,
Staten Island,,
Manhattan,,
Brooklyn,,
Bronx,,
Bronx,,
Queens,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Queens,,
Bronx,,
Brooklyn,1,
Brooklyn,,
Staten Island,,
Bronx,,
Queens,,
Manhattan,,
Bronx,,
Queens,,
Staten Island,,
Queens,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Bronx,,
Bronx,,
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Brooklyn,,
Bronx,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,60,PLAZA ST EAST
Queens,,
Manhattan,,
Brooklyn,,
Manhattan,204,BRADHURST AVENUE
Queens,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Bronx,,
Brooklyn,80,POWELL STREET
Manhattan,,
Queens,,
Staten Island,,
Staten Island,5,WADSWORTH AVENUE
Bronx,,
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,,
Manhattan,,
Brooklyn,60,PLAZA ST EAST
Bronx,,
Staten Island,,
Queens,,
Manhattan,,
Bronx,,
Manhattan,,
Bronx,,
Queens,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Manhattan,,
Brooklyn,60,PLAZA ST EAST
Manhattan,,
Brooklyn,,
Queens,,
Queens,33-46,191 STREET
Queens,,
Brooklyn,561,4 AVENUE
Staten Island,2025,RICHMOND AVENUE
Brooklyn,1315,EAST  22 STREET
Queens,73-07,183 STREET
Staten Island,1054,HYLAN BOULEVARD
Queens,61-17,56 STREET
Manhattan,127,RIVERSIDE DRIVE
Manhattan,20,WEST 101 STREET
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,2559,3 AVENUE
Bronx,,
Brooklyn,624,AVENUE O
Queens,115-94,SPRINGFIELD BOULEVARD
Queens,115-90,SPRINGFIELD BOULEVARD
Queens,115-88,SPRINGFIELD BOULEVARD
Queens,115-83,SPRINGFIELD BOULEVARD
Queens,115-83,SPRINGFIELD BOULEVARD
Queens,115-78,SPRINGFIELD BOULEVARD
Staten Island,,
Bronx,711,EAST 140 STREET
Bronx,358,SOUTHERN BOULEVARD
Bronx,358,SOUTHERN BOULEVARD
Queens,23-002,33 STREET
Queens,163-32,95 STREET
Queens,163-40,95 STREET
Queens,160-44,96 STREET
Queens,155-04,LAHN STREET
Queens,156-12,96 STREET
Queens,156-18,96 STREET
Queens,132-28,CROSS BAY BOULEVARD
Queens,132-22,CROSS BAY BOULEVARD
Brooklyn,871,GREENE AVENUE
Brooklyn,192,KOSCIUSZKO STREET
Brooklyn,611,GATES AVENUE
Brooklyn,245,MARCUS GARVEY BOULEVARD
Brooklyn,188,VAN BUREN STREET
Brooklyn,178,LEWIS AVENUE
Brooklyn,204,LEWIS AVENUE
Brooklyn,206,LEWIS AVENUE
Brooklyn,342,LEWIS AVENUE
Brooklyn,633,HANCOCK STREET
Brooklyn,841,JEFFERSON AVENUE
Brooklyn,720,JEFFERSON AVENUE
Brooklyn,744,MADISON STREET
Brooklyn,708,MONROE STREET
Brooklyn,713,MONROE STREET
Brooklyn,282,JEFFERSON AVENUE
Brooklyn,288,JEFFERSON AVENUE
Brooklyn,400,PUTNAM AVENUE
Brooklyn,227,TOMPKINS AVENUE
Staten Island,60,SHELLEY AVENUE
Queens,,
Bronx,4250,PARK AVENUE
Bronx,4250,PARK AVENUE
Bronx,4250,PARK AVENUE
Bronx,4259,PARK AVENUE
Bronx,4259,PARK AVENUE
Bronx,4259,PARK AVENUE
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,3534,BRONX BOULEVARD
Bronx,3434,BRONX BOULEVARD
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Staten Island,614,BARD AVENUE
Staten Island,561,OAKLAND AVENUE
Staten Island,560,OAKLAND AVENUE
Staten Island,557,OAKLAND AVENUE
Staten Island,54,POTTER AVENUE
Staten Island,37,BUFFINGTON AVENUE
Staten Island,12,WINTHROP PLACE
Staten Island,15,DONGAN AVENUE
Brooklyn,1817,OCEAN PARKWAY
Brooklyn,1817,OCEAN PARKWAY
Brooklyn,1847,OCEAN PARKWAY
Brooklyn,2265,OCEAN PARKWAY
Brooklyn,2265,OCEAN PARKWAY
Brooklyn,2565,EAST  17 STREET
Queens,,
Queens,,
Bronx,,
Bronx,924,EAST 225 STREET
Bronx,960,EAST 223 STREET
Queens,64-26,184 STREET
Queens,75-47,UTOPIA PARKWAY
Queens,78-065,85 ST
Queens,63-12,70 STREET
Queens,66-013,74 ST
Queens,66-15,74 STREET
Queens,65-22,77 PLACE
Queens,65-18,77 PLACE
Queens,65-12,77 PLACE
Queens,69-38,ELIOT AVENUE
Queens,60-53,FLUSHING AVENUE
Queens,54-11,69 LANE
Queens,50-38,47 STREET
Queens,50-044,47 STREET
Queens,45-41,40 STREET
Queens,34-002,43 AVE
Queens,25-79,45 STREET
Queens,25-79,43 STREET
Queens,31-53,12 STREET
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,76-32,175 STREET
Queens,184-30,HOVENDEN ROAD
Bronx,2714,GIFFORD AVENUE
Bronx,3066,BUHRE AVENUE
Brooklyn,544,CLINTON AVENUE
Brooklyn,235,ST JAMES PLACE
Brooklyn,23,LEFFERTS PLACE
Brooklyn,146,LEFFERTS PLACE
Queens,40-25,171 STREET
Manhattan,,
Manhattan,,
Manhattan,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Bronx,,
Manhattan,127,RIVERSIDE DRIVE
Manhattan,180,RIVERSIDE DRIVE
Manhattan,711,WEST END AVENUE
Queens,56-29,206 STREET
Manhattan,711,WEST END AVENUE
Manhattan,,
Queens,149-031,2 AVENUE
Staten Island,310,CORTELYOU AVENUE
Manhattan,503,WEST 121 STREET
Staten Island,293,ELTINGVILLE BOULEVARD
Staten Island,302,GETZ AVENUE
Manhattan,200,WEST 148 STREET
Manhattan,208,EAST BROADWAY
Manhattan,10,7 AVENUE SOUTH
Manhattan,111,WEST 71 STREET
Staten Island,111,MCBAINE AVENUE
Brooklyn,1019,EAST  16 STREET
Bronx,948,BRINSMADE AVE
Bronx,962,EAST 217 STREET
Bronx,827,EAST 217 STREET
Bronx,722,EAST 217 STREET
Bronx,724,EAST 217 STREET
Bronx,740,EAST 217 STREET
Bronx,746,EAST 217 STREET
Bronx,752,EAST 217 STREET
Bronx,756,EAST 217 STREET
Bronx,760,EAST 217 STREET
Bronx,762,EAST 217 STREET
Queens,208-15,32 AVENUE
Queens,222-03,41 ROAD
Queens,221-06,39 AVENUE
Queens,221-06,39 AVENUE
Queens,213-05,32 AVENUE
Bronx,929,EAST 218 STREET
Queens,211-61,94 ROAD
Queens,94-22,212 STREET
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Brooklyn,8895,26 AVENUE
Manhattan,,
Queens,,
Queens,,
Manhattan,,
Bronx,,
Staten Island,421,KATAN AVENUE
Manhattan,*,W 81 ST
Manhattan,*,W 81 ST
Bronx,866,HUNTS POINT AVENUE
Queens,52-08,BROWVALE LANE
Bronx,1976,GILDERSLEEVE AVENUE
Queens,186,BEACH  62 STREET
Queens,254,BEACH 133 STREET
Queens,204-01,HOLLIS AVENUE
Queens,190-17,DORMANS ROAD
Queens,190-17,DORMANS ROAD
Brooklyn,451,CLINTON AVENUE
Staten Island,142,RIDGEWOOD AVENUE
Queens,112-60,DILLON STREET
Queens,197-25,HILLSIDE AVENUE
Bronx,1032,EAST 231 STREET
Bronx,4129,BRONXWOOD AVENUE
Bronx,912,EAST 231 STREET
Bronx,4151,PAULDING AVENUE
Staten Island,552,TOMPKINS AVENUE
Staten Island,529,TOMPKINS AVENUE
Bronx,,
Bronx,801,EAST 136 STREET
Bronx,755,EAST 134 STREET
Bronx,780,EAST 135 STREET
Bronx,780,EAST 135 STREET
Bronx,780,EAST 135 STREET
Bronx,781,EAST 135 STREET
Bronx,780,EAST 136 STREET
Bronx,880,EAST 133 STREET
Bronx,880,EAST 133 STREET
Bronx,880,EAST 133 STREET
Bronx,880,EAST 133 STREET
Bronx,900,EAST 132 STREET
Bronx,900,EAST 132 STREET
Bronx,871,EAST 132 STREET
Bronx,871,EAST 132 STREET
Bronx,120,WALNUT AVENUE
Bronx,845,EAST 136 STREET
Bronx,845,EAST 136 STREET
Bronx,850,EAST 138 STREET
Bronx,251,WALNUT AVENUE
Bronx,863,EAST 141 STREET
Bronx,863,EAST 141 STREET
Bronx,327,WALNUT AVENUE
Bronx,542,SOUTHERN BOULEVARD
Bronx,433,BRUCKNER BOULEVARD
Bronx,429,BRUCKNER BOULEVARD
Bronx,442,TIMPSON PLACE
Bronx,415,BRUCKNER BOULEVARD
Bronx,415,BRUCKNER BOULEVARD
Bronx,415,BRUCKNER BOULEVARD
Queens,61-21,159 STREET
Bronx,1100,EAST 233 STREET
Bronx,4013,GUNTHER AVENUE
Bronx,930,EAST 233 STREET
Bronx,980,EAST 233 STREET
Bronx,980,EAST 233 STREET
Bronx,1057,EAST 232 STREET
Brooklyn,,
Brooklyn,,
Queens,51-06,HOLLIS COURT BOULEVARD
Queens,51-03,196 STREET
Queens,213-10,UNION TURNPIKE
Queens,210-10,UNION TURNPIKE
Bronx,3507,LACONIA AVENUE
Bronx,4055,WICKHAM AVENUE
Bronx,4055,WICKHAM AVENUE
Bronx,4055,WICKHAM AVENUE
Bronx,4015,GUNTHER AVENUE
Queens,,
Queens,10-26,TOTTEN STREET
Staten Island,181,COVERLY AVENUE
Queens,219-10,HILLSIDE AVENUE
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,150,CONVENT AVENUE
Manhattan,,
Manhattan,121,ST NICHOLAS AVENUE
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Brooklyn,3035,EMMONS AVENUE
Queens,,
Bronx,148,MORTON PLACE
Queens,,
Queens,33-039,58 STREET
Brooklyn,216,GUERNSEY STREET
Brooklyn,110,KENT STREET
Brooklyn,86,KENT STREET
Staten Island,344,CORTELYOU AVENUE
Staten Island,154,FAHY AVENUE
Queens,,
Queens,,
Queens,73-66,SPRINGFIELD BOULEVARD
Queens,237-04,93 AVENUE
Brooklyn,,
Queens,38-17,211 STREET
Queens,201-16,36 AVENUE
Queens,188-20,50 AVENUE
Queens,188-20,50 AVENUE
Queens,94-22,221 STREET
Queens,,
Manhattan,35,BEEKMAN PLACE
Staten Island,,
Queens,146-43,29 AVENUE
Queens,160-24,25 DRIVE
Queens,185-15,56 AVENUE
Staten Island,136,DEMOPOLIS AVENUE
Staten Island,156,WILSON AVENUE
Bronx,415,BRUCKNER BOULEVARD
Bronx,415,BRUCKNER BOULEVARD
Bronx,415,BRUCKNER BOULEVARD
Bronx,415,BRUNKER BLVD
Bronx,415,BRUNKER BLVD
Bronx,415,BRUNKER BLVD
Bronx,415,BRUNKER BLVD
Bronx,415,BRUNKER BLVD
Bronx,415,BRUNKER BLVD
Bronx,415,BRUNKER BLVD
Queens,173-15,BOOTH MEMORIAL AVENUE
Manhattan,,
Manhattan,,
Manhattan,,
Queens,212-05,38 AVENUE
Queens,160-44,95 STREET
Queens,82-18,160 AVENUE
Queens,37-30,62 STREET
Queens,45-66,202 STREET
Queens,45-66,202 STREET
Bronx,2732,SEXTON PLACE
Brooklyn,31,PLEASANT PLACE
Brooklyn,1282,HERKIMER STREET
Staten Island,329,OLYMPIA BOULEVARD
Staten Island,329,OLYMPIA BOULEVARD
Staten Island,329,OLYMPIA BOULEVARD
Staten Island,329,OLYMPIA BOULEVARD
Staten Island,329,OLYMPIA BOULEVARD
Staten Island,379,QUINTARD STREET
Staten Island,315,QUINTARD STREET
Staten Island,257,QUINTARD STREET
Staten Island,255,QUINTARD STREET
Staten Island,253,QUINTARD STREET
Staten Island,253,QUINTARD STREET
